word,cnt,p
purchasing,12,0.00023
warrenty,12,0.00023
giving,12,0.00023
lap,12,0.00023
horrible,12,0.00023
touchpad,12,0.00023
hope,12,0.00023
shipping,12,0.00023
weight,12,0.00023
kind,12,0.00023
type,12,0.00023
%,12,0.00023
huge,12,0.00023
understand,12,0.00023
his,12,0.00023
buttons,12,0.00023
poor,12,0.00023
her,12,0.00023
must,12,0.00023
--,12,0.00023
either,12,0.00023
fun,12,0.00023
shop,11,0.00021
13,11,0.00021
external,11,0.00021
place,11,0.00021
boot,11,0.00021
paying,11,0.00021
four,11,0.00021
under,11,0.00021
return,11,0.00021
15,11,0.00021
number,11,0.00021
shut,11,0.00021
satellite,11,0.00021
100,11,0.00021
easier,11,0.00021
documents,11,0.00021
touch,11,0.00021
connect,11,0.00021
expensive,11,0.00021
shipped,11,0.00021
market,11,0.00021
bluetooth,11,0.00021
family,11,0.00021
others,11,0.00021
port,11,0.00021
users,11,0.00021
lightweight,11,0.00021
disk,11,0.00021
seconds,11,0.00021
glad,11,0.00021
except,11,0.00021
quite,11,0.00021
super,11,0.00021
world,11,0.00021
starter,11,0.00021
stick,11,0.00021
space,11,0.00021
received,11,0.00021
difference,11,0.00021
actually,11,0.00021
media,11,0.00021
netbooks,10,0.00019
hate,10,0.00019
totally,10,0.00019
stay,10,0.00019
sometimes,10,0.00019
crashed,10,0.00019
monitor,10,0.00019
dollars,10,0.00019
gave,10,0.00019
twice,10,0.00019
broken,10,0.00019
lost,10,0.00019
died,10,0.00019
hardware,10,0.00019
looked,10,0.00019
!!!,10,0.00019
trouble,10,0.00019
half,10,0.00019
editing,10,0.00019
yes,10,0.00019
five,10,0.00019
cool,10,0.00019
matter,10,0.00019
install,10,0.00019
quick,10,0.00019
feature,10,0.00019
clear,10,0.00019
offer,10,0.00019
black,10,0.00019
end,10,0.00019
complaint,10,0.00019
care,10,0.00019
ask,10,0.00019
job,10,0.00019
inch,10,0.00019
research,10,0.00019
suggest,10,0.00019
turned,9,0.00018
satisfied,9,0.00018
game,9,0.00018
owning,9,0.00018
waste,9,0.00018
version,9,0.00018
friends,9,0.00018
froze,9,0.00018
webcam,9,0.00018
seem,9,0.00018
constantly,9,0.00018
designed,9,0.00018
ghz,9,0.00018
17,9,0.00018
asked,9,0.00018
yourself,9,0.00018
processing,9,0.00018
gift,9,0.00018
protection,9,0.00018
xp,9,0.00018
mine,9,0.00018
movies,9,0.00018
tv,9,0.00018
point,9,0.00018
pleased,9,0.00018
freezing,9,0.00018
load,9,0.00018
dont,9,0.00018
guess,9,0.00018
especially,9,0.00018
inside,9,0.00018
check,9,0.00018
front,9,0.00018
put,9,0.00018
try,9,0.00018
waited,9,0.00018
goes,9,0.00018
soon,9,0.00018
loaded,9,0.00018
',9,0.00018
wife,9,0.00018
click,9,0.00018
pages,9,0.00018
clean,9,0.00018
built,9,0.00018
calls,9,0.00018
recently,9,0.00018
photos,9,0.00018
read,9,0.00018
worse,9,0.00018
fit,9,0.00018
student,9,0.00018
night,8,0.00016
sales,8,0.00016
lots,8,0.00016
offers,8,0.00016
dark,8,0.00016
oh,8,0.00016
backlit,8,0.00016
plugged,8,0.00016
noticed,8,0.00016
gotten,8,0.00016
including,8,0.00016
bios,8,0.00016
honestly,8,0.00016
loud,8,0.00016
seemed,8,0.00016
certain,8,0.00016
drivers,8,0.00016
charger,8,0.00016
enjoy,8,0.00016
refused,8,0.00016
order,8,0.00016
uses,8,0.00016
important,8,0.00016
reliable,8,0.00016
failed,8,0.00016
typing,8,0.00016
im,8,0.00016
mention,8,0.00016
stars,8,0.00016
husband,8,0.00016
stuck,8,0.00016
tired,8,0.00016
previous,8,0.00016
given,8,0.00016
resolution,8,0.00016
drop,8,0.00016
ordered,8,0.00016
piece,8,0.00016
loved,8,0.00016
learning,8,0.00016
heavy,8,0.00016
ports,8,0.00016
machines,8,0.00016
trackpad,8,0.00016
videos,8,0.00016
summary,8,0.00016
us,8,0.00016
anywhere,8,0.00016
expected,8,0.00016
functions,8,0.00016
opinion,8,0.00016
professional,8,0.00016
during,8,0.00016
6,8,0.00016
kept,8,0.00016
waiting,8,0.00016
gives,8,0.00016
iphoto,8,0.00016
updates,8,0.00016
sit,8,0.00016
solid,8,0.00016
loose,8,0.00016
stuff,8,0.00016
plug,8,0.00016
real,8,0.00016
specs,8,0.00016
useless,7,0.00014
i5,7,0.00014
macbooks,7,0.00014
break,7,0.00014
consider,7,0.00014
meets,7,0.00014
frustrating,7,0.00014
thats,7,0.00014
knew,7,0.00014
iphone,7,0.00014
hd,7,0.00014
travel,7,0.00014
ok,7,0.00014
imagine,7,0.00014
fell,7,0.00014
website,7,0.00014
allows,7,0.00014
3rd,7,0.00014
upgraded,7,0.00014
frustrated,7,0.00014
board,7,0.00014
bottom,7,0.00014
show,7,0.00014
recovery,7,0.00014
eventually,7,0.00014
page,7,0.00014
lg,7,0.00014
daughter,7,0.00014
charged,7,0.00014
alot,7,0.00014
papers,7,0.00014
customers,7,0.00014
move,7,0.00014
8,7,0.00014
hands,7,0.00014
impressed,7,0.00014
mind,7,0.00014
premium,7,0.00014
class,7,0.00014
iwork,7,0.00014
garageband,7,0.00014
itunes,7,0.00014
camera,7,0.00014
awful,7,0.00014
ilife,7,0.00014
sleek,7,0.00014
refund,7,0.00014
geek,7,0.00014
compaq,7,0.00014
major,7,0.00014
exactly,7,0.00014
friendly,7,0.00014
switch,7,0.00014
graphic,7,0.00014
fairly,7,0.00014
between,7,0.00014
`,7,0.00014
via,7,0.00014
recommended,7,0.00014
thinking,7,0.00014
based,7,0.00014
useful,7,0.00014
repairs,7,0.00014
broke,7,0.00014
build,7,0.00014
regret,7,0.00014
standard,7,0.00014
durable,7,0.00014
burn,7,0.00014
photo,7,0.00014
lose,7,0.00014
fantastic,7,0.00014
network,7,0.00014
ms,7,0.00014
story,7,0.00014
apparently,7,0.00014
review,7,0.00014
button,7,0.00014
opened,7,0.00014
outstanding,7,0.00014
claim,7,0.00014
plan,7,0.00014
decent,7,0.00014
connection,7,0.00014
unable,7,0.00014
everyone,7,0.00014
cord,6,0.00012
putting,6,0.00012
ones,6,0.00012
together,6,0.00012
bright,6,0.00012
properly,6,0.00012
hundred,6,0.00012
single,6,0.00012
country,6,0.00012
device,6,0.00012
ready,6,0.00012
disc,6,0.00012
updated,6,0.00012
above,6,0.00012
speaking,6,0.00012
personal,6,0.00012
forced,6,0.00012
navigate,6,0.00012
caused,6,0.00012
doesnt,6,0.00012
systems,6,0.00012
crash,6,0.00012
luck,6,0.00012
annoying,6,0.00012
browsing,6,0.00012
movie,6,0.00012
available,6,0.00012
track,6,0.00012
core,6,0.00012
graduation,6,0.00012
today,6,0.00012
none,6,0.00012
hinge,6,0.00012
facebook,6,0.00012
april,6,0.00012
sitting,6,0.00012
quiet,6,0.00012
sense,6,0.00012
white,6,0.00012
watching,6,0.00012
macconnection,6,0.00012
mousepad,6,0.00012
hold,6,0.00012
+,6,0.00012
complaints,6,0.00012
late,6,0.00012
bigger,6,0.00012
delivery,6,0.00012
amount,6,0.00012
search,6,0.00012
built-in,6,0.00012
imovie,6,0.00012
house,6,0.00012
become,6,0.00012
held,6,0.00012
plastic,6,0.00012
intel,6,0.00012
damage,6,0.00012
fits,6,0.00012
kids,6,0.00012
decision,6,0.00012
squad,6,0.00012
2011,6,0.00012
truly,6,0.00012
apps,6,0.00012
condition,6,0.00012
perfectly,6,0.00012
each,6,0.00012
turns,6,0.00012
nearly,6,0.00012
flawlessly,6,0.00012
higher,6,0.00012
terrible,6,0.00012
listen,6,0.00012
included,6,0.00012
16,6,0.00012
2nd,6,0.00012
happened,6,0.00012
machouse,6,0.00012
control,6,0.00012
led,6,0.00012
regular,6,0.00012
unlike,6,0.00012
heat,6,0.00012
students,6,0.00012
brands,6,0.00012
superior,6,0.00012
ended,6,0.00012
depot,6,0.00012
background,6,0.00012
services,6,0.00012
plenty,6,0.00012
taken,6,0.00012
seen,6,0.00012
defective,6,0.00012
expect,6,0.00012
wifi,6,0.00012
compatible,6,0.00012
constant,6,0.00012
switched,6,0.00012
close,6,0.00012
throw,6,0.00012
allow,6,0.00012
convert,6,0.00012
hrs,6,0.00012
watch,6,0.00012
name,6,0.00012
information,6,0.00012
often,6,0.00012
coming,6,0.00012
portability,6,0.00012
saying,6,0.00012
/,6,0.00012
supposed,6,0.00012
sad,5,0.00010
son,5,0.00010
freaking,5,0.00010
usually,5,0.00010
pricey,5,0.00010
i7,5,0.00010
dual,5,0.00010
multi-touch,5,0.00010
area,5,0.00010
site,5,0.00010
barely,5,0.00010
bother,5,0.00010
expecting,5,0.00010
added,5,0.00010
30,5,0.00010
crashes,5,0.00010
newer,5,0.00010
forward,5,0.00010
numerous,5,0.00010
setup,5,0.00010
realized,5,0.00010
date,5,0.00010
covered,5,0.00010
reasons,5,0.00010
expired,5,0.00010
loads,5,0.00010
browser,5,0.00010
report,5,0.00010
complain,5,0.00010
rarely,5,0.00010
incredibly,5,0.00010
crashing,5,0.00010
intuitive,5,0.00010
download,5,0.00010
speaker,5,0.00010
hardly,5,0.00010
reputation,5,0.00010
yeah,5,0.00010
bar,5,0.00010
playing,5,0.00010
july,5,0.00010
outside,5,0.00010
efficient,5,0.00010
returning,5,0.00010
cooling,5,0.00010
general,5,0.00010
error,5,0.00010
hooked,5,0.00010
special,5,0.00010
packard,5,0.00010
stop,5,0.00010
wal,5,0.00010
mart,5,0.00010
volume,5,0.00010
responsive,5,0.00010
boots,5,0.00010
quicker,5,0.00010
safari,5,0.00010
1/2,5,0.00010
saved,5,0.00010
tax,5,0.00010
benefits,5,0.00010
additional,5,0.00010
recomend,5,0.00010
shows,5,0.00010
gateway,5,0.00010
computing,5,0.00010
overheating,5,0.00010
common,5,0.00010
obviously,5,0.00010
interface,5,0.00010
low,5,0.00010
investment,5,0.00010
chat,5,0.00010
cheaper,5,0.00010
english,5,0.00010
adding,5,0.00010
bunch,5,0.00010
cant,5,0.00010
beware,5,0.00010
checking,5,0.00010
smooth,5,0.00010
discovered,5,0.00010
lasting,5,0.00010
reccomend,5,0.00010
ran,5,0.00010
operation,5,0.00010
sharp,5,0.00010
managed,5,0.00010
arrived,5,0.00010
replacing,5,0.00010
expense,5,0.00010
necessary,5,0.00010
currently,5,0.00010
frequently,5,0.00010
hook,5,0.00010
amsterdam,5,0.00010
picture,5,0.00010
cords,5,0.00010
realize,5,0.00010
2gb,5,0.00010
junk,5,0.00010
beautiful,5,0.00010
sized,5,0.00010
anymore,5,0.00010
numbers,5,0.00010
idea,5,0.00010
apart,5,0.00010
children,5,0.00010
net,5,0.00010
hdd,5,0.00010
ups,5,0.00010
trial,5,0.00010
versions,5,0.00010
heck,5,0.00010
third,5,0.00010
excited,5,0.00010
basic,5,0.00010
surfing,5,0.00010
reviews,5,0.00010
him,5,0.00010
handle,5,0.00010
fault,5,0.00010
400,5,0.00010
dead,5,0.00010
options,5,0.00010
live,5,0.00010
lasted,5,0.00010
fire,5,0.00010
write,5,0.00010
transfer,5,0.00010
performs,5,0.00010
solution,5,0.00010
biggest,5,0.00010
access,5,0.00010
edges,5,0.00010
rest,5,0.00010
possible,5,0.00010
normal,5,0.00010
pros,5,0.00010
various,5,0.00010
room,5,0.00010
against,5,0.00010
budget,5,0.00010
fall,5,0.00010
everyday,5,0.00010
acknowledge,5,0.00010
changed,5,0.00010
ten,5,0.00010
finding,5,0.00010
known,5,0.00010
strong,5,0.00010
similar,5,0.00010
okay,5,0.00010
basics,5,0.00010
backpack,5,0.00010
guy,4,0.00008
retail,4,0.00008
saw,4,0.00008
town,4,0.00008
gorgeous,4,0.00008
needless,4,0.00008
required,4,0.00008
remove,4,0.00008
edge,4,0.00008
boy,4,0.00008
advantage,4,0.00008
s,4,0.00008
talk,4,0.00008
helps,4,0.00008
penny,4,0.00008
future,4,0.00008
setting,4,0.00008
techie,4,0.00008
correct,4,0.00008
technician,4,0.00008
trip,4,0.00008
technical,4,0.00008
gone,4,0.00008
headquarters,4,0.00008
freezes,4,0.00008
quit,4,0.00008
smaller,4,0.00008
thank,4,0.00008
happen,4,0.00008
sorry,4,0.00008
1st,4,0.00008
continued,4,0.00008
mother,4,0.00008
middle,4,0.00008
delete,4,0.00008
lemon,4,0.00008
mode,4,0.00008
chose,4,0.00008
literally,4,0.00008
tutorials,4,0.00008
color,4,0.00008
smoothly,4,0.00008
comparison,4,0.00008
flaw,4,0.00008
slowly,4,0.00008
add,4,0.00008
drawback,4,0.00008
buyer,4,0.00008
reader,4,0.00008
driver,4,0.00008
thru,4,0.00008
cam,4,0.00008
dad,4,0.00008
mostly,4,0.00008
brought,4,0.00008
defect,4,0.00008
unfortunately,4,0.00008
leopard,4,0.00008
output,4,0.00008
baby,4,0.00008
function,4,0.00008
custom,4,0.00008
older,4,0.00008
choice,4,0.00008
disappointing,4,0.00008
stand,4,0.00008
shutting,4,0.00008
electronics,4,0.00008
equipment,4,0.00008
nicely,4,0.00008
latest,4,0.00008
175,4,0.00008
expectations,4,0.00008
storage,4,0.00008
keeps,4,0.00008
liked,4,0.00008
data,4,0.00008
techs,4,0.00008
joy,4,0.00008
burner,4,0.00008
components,4,0.00008
happening,4,0.00008
parents,4,0.00008
nightmare,4,0.00008
hated,4,0.00008
played,4,0.00008
osx,4,0.00008
randomly,4,0.00008
rate,4,0.00008
staff,4,0.00008
companies,4,0.00008
receive,4,0.00008
2009,4,0.00008
wont,4,0.00008
drives,4,0.00008
specifications,4,0.00008
etc,4,0.00008
sending,4,0.00008
aluminum,4,0.00008
newegg,4,0.00008
bucks,4,0.00008
50,4,0.00008
die,4,0.00008
limited,4,0.00008
navigation,4,0.00008
classes,4,0.00008
mistake,4,0.00008
amazed,4,0.00008
desk,4,0.00008
onto,4,0.00008
main,4,0.00008
crap,4,0.00008
sister,4,0.00008
edit,4,0.00008
thoughts,4,0.00008
mid,4,0.00008
fully,4,0.00008
complete,4,0.00008
level,4,0.00008
u,4,0.00008
powerful,4,0.00008
lower,4,0.00008
!!,4,0.00008
gb,4,0.00008
emails,4,0.00008
mail,4,0.00008
17-inch,4,0.00008
please,4,0.00008
restart,4,0.00008
twenty,4,0.00008
lcd,4,0.00008
sucks,4,0.00008
contacted,4,0.00008
friday,4,0.00008
issued,4,0.00008
spoke,4,0.00008
x,4,0.00008
cut,4,0.00008
despite,4,0.00008
previously,4,0.00008
unibody,4,0.00008
respond,4,0.00008
reasonable,4,0.00008
ship,4,0.00008
noise,4,0.00008
capabilities,4,0.00008
zero,4,0.00008
seriously,4,0.00008
convenient,4,0.00008
programming,4,0.00008
choose,4,0.00008
moment,4,0.00008
larger,4,0.00008
1000,4,0.00008
wonder,4,0.00008
pop,4,0.00008
starting,4,0.00008
stylish,4,0.00008
afford,4,0.00008
booting,4,0.00008
address,4,0.00008
june,4,0.00008
remember,4,0.00008
local,4,0.00008
jack,4,0.00008
parts,4,0.00008
darker,4,0.00008
tools,4,0.00008
post,4,0.00008
daily,4,0.00008
connections,4,0.00008
cause,4,0.00008
serves,4,0.00008
requirements,4,0.00008
fourth,4,0.00008
death,4,0.00008
says,4,0.00008
considering,4,0.00008
basically,4,0.00008
bags,4,0.00008
list,4,0.00008
holding,4,0.00008
option,4,0.00008
carrying,4,0.00008
pavilion,3,0.00006
presentation,3,0.00006
unnecessary,3,0.00006
reasonably,3,0.00006
correctly,3,0.00006
recent,3,0.00006
freeze,3,0.00006
occasionally,3,0.00006
total,3,0.00006
along,3,0.00006
directly,3,0.00006
near,3,0.00006
met,3,0.00006
exceeded,3,0.00006
compact,3,0.00006
requiring,3,0.00006
contact,3,0.00006
self,3,0.00006
kinda,3,0.00006
talking,3,0.00006
credit,3,0.00006
slick,3,0.00006
9,3,0.00006
helpful,3,0.00006
immediately,3,0.00006
force,3,0.00006
lighter,3,0.00006
genius,3,0.00006
poorly,3,0.00006
ipod,3,0.00006
2.4,3,0.00006
true,3,0.00006
simpler,3,0.00006
favorite,3,0.00006
typed,3,0.00006
letters,3,0.00006
owner,3,0.00006
saturday,3,0.00006
backup,3,0.00006
alright,3,0.00006
downloaded,3,0.00006
images,3,0.00006
hoping,3,0.00006
leaves,3,0.00006
camper,3,0.00006
bummer,3,0.00006
bag,3,0.00006
weird,3,0.00006
feels,3,0.00006
leave,3,0.00006
construction,3,0.00006
nicer,3,0.00006
desktops,3,0.00006
wiped,3,0.00006
somehow,3,0.00006
fingerprint,3,0.00006
installation,3,0.00006
birthday,3,0.00006
present,3,0.00006
happier,3,0.00006
terrific,3,0.00006
appearance,3,0.00006
mic,3,0.00006
communication,3,0.00006
fiance,3,0.00006
drag,3,0.00006
breaks,3,0.00006
crystal,3,0.00006
colors,3,0.00006
powerbook,3,0.00006
crisp,3,0.00006
amd,3,0.00006
easiest,3,0.00006
internal,3,0.00006
therefore,3,0.00006
approximately,3,0.00006
fingerprints,3,0.00006
snow,3,0.00006
picked,3,0.00006
primary,3,0.00006
ipad,3,0.00006
stock,3,0.00006
selling,3,0.00006
charging,3,0.00006
test,3,0.00006
creating,3,0.00006
solved,3,0.00006
fixing,3,0.00006
corrupted,3,0.00006
usual,3,0.00006
comment,3,0.00006
reading,3,0.00006
g4,3,0.00006
becomes,3,0.00006
edition,3,0.00006
body,3,0.00006
interesting,3,0.00006
holds,3,0.00006
file,3,0.00006
printer,3,0.00006
seventy,3,0.00006
seeing,3,0.00006
adobe,3,0.00006
creative,3,0.00006
process,3,0.00006
turning,3,0.00006
happens,3,0.00006
serial,3,0.00006
favor,3,0.00006
automatically,3,0.00006
pack,3,0.00006
nor,3,0.00006
ahead,3,0.00006
schoolwork,3,0.00006
began,3,0.00006
released,3,0.00006
emachines,3,0.00006
entirely,3,0.00006
batteries,3,0.00006
dog,3,0.00006
reboot,3,0.00006
hdmi,3,0.00006
fighting,3,0.00006
cash,3,0.00006
knows,3,0.00006
dismantle,3,0.00006
firewire,3,0.00006
800,3,0.00006
2010,3,0.00006
morning,3,0.00006
nature,3,0.00006
2007,3,0.00006
image,3,0.00006
warning,3,0.00006
pavillion,3,0.00006
note,3,0.00006
particular,3,0.00006
safe,3,0.00006
originally,3,0.00006
capable,3,0.00006
beyond,3,0.00006
priced,3,0.00006
keynote,3,0.00006
reload,3,0.00006
guarantee,3,0.00006
accept,3,0.00006
thrilled,3,0.00006
child,3,0.00006
table,3,0.00006
skype,3,0.00006
push,3,0.00006
financing,3,0.00006
sold,3,0.00006
anyway,3,0.00006
figure,3,0.00006
2008,3,0.00006
